[06/19/22 03:38:51] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 04:03:02] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 04:04:10] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 04:05:53] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 04:40:14] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 05:01:14] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 05:30:08] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 10:38:32] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 10:39:01] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 10:39:37] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 10:40:13] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 10:40:49] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/19/22 11:20:27] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/20/22 14:30:37] [ERROR] signal 6 (SIGABRT) catched; shutting log-core down (errno: 0, signal code: -6, exit status: 0)
[06/30/22 22:49:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[06/30/22 22:50:27] [INFO] received Windows console close event; shutting log-core down
[06/30/22 22:53:17] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:00:54] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:05:15] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:10:42] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:17:52] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:32:27] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:34:25] [INFO] received Windows console close event; shutting log-core down
[06/30/22 23:50:59] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:04:52] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:09:44] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:19:24] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:27:28] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:34:41] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:50:38] [INFO] received Windows console close event; shutting log-core down
[07/01/22 00:53:22] [INFO] received Windows console close event; shutting log-core down
[07/01/22 03:05:05] [INFO] received Windows console close event; shutting log-core down
[07/01/22 03:10:07] [INFO] received Windows console close event; shutting log-core down
[07/01/22 03:11:22] [INFO] received Windows console close event; shutting log-core down
[07/01/22 13:30:16] [INFO] received Windows console close event; shutting log-core down
[07/01/22 13:40:21] [INFO] received Windows console close event; shutting log-core down
